period_begin,state,state_code,property_type,median_sale_price,id
2020-01-01,Delaware,DE,Condo/Co-op,137000,10
2020-01-01,Hawaii,HI,Single Family Residential,649300,15
2020-01-01,North Dakota,ND,Townhouse,246600,38
2020-01-01,Alabama,AL,Single Family Residential,191000,1
2020-01-01,Missouri,MO,Single Family Residential,173200,29
2020-01-01,Maryland,MD,Single Family Residential,354200,24
2020-01-01,Florida,FL,Single Family Residential,265800,12
2020-01-01,Minnesota,MN,All Residential,252300,27
2020-01-01,Oklahoma,OK,Condo/Co-op,114200,40
2020-01-01,Kansas,KS,Multi-Family (2-4 Unit),152300,20
2020-01-01,Oregon,OR,All Residential,356000,41
2020-01-01,New Jersey,NJ,Single Family Residential,322300,34
2020-01-01,West Virginia,WV,All Residential,159300,54
2020-01-01,Tennessee,TN,Condo/Co-op,244200,47
2020-01-01,Idaho,ID,Condo/Co-op,329500,16
2020-01-01,Mississippi,MS,Single Family Residential,168400,28
2020-01-01,Wisconsin,WI,Multi-Family (2-4 Unit),146500,55
2020-01-01,Missouri,MO,All Residential,171000,29
2020-01-01,Pennsylvania,PA,Townhouse,187300,42
2020-01-01,Nebraska,NE,Condo/Co-op,211500,31
2020-01-01,Maine,ME,All Residential,224100,23
2020-01-01,Georgia,GA,Multi-Family (2-4 Unit),226500,13
2020-01-01,Colorado,CO,Townhouse,408900,8
2020-01-01,Washington,WA,Condo/Co-op,337500,53
2020-01-01,Louisiana,LA,All Residential,198500,22
2020-01-01,Iowa,IA,All Residential,164400,19
2020-01-01,Georgia,GA,Single Family Residential,234000,13
2020-01-01,Pennsylvania,PA,Multi-Family (2-4 Unit),135000,42
2020-01-01,Kentucky,KY,Single Family Residential,170300,21
2020-01-01,Louisiana,LA,Townhouse,52700,22
2020-01-01,Maryland,MD,Townhouse,216300,24
2020-01-01,Rhode Island,RI,Single Family Residential,307300,44
2020-01-01,Rhode Island,RI,Condo/Co-op,235000,44
2020-01-01,Utah,UT,Multi-Family (2-4 Unit),418500,49
2020-01-01,South Dakota,SD,Townhouse,240000,46
2020-01-01,Wisconsin,WI,Condo/Co-op,181200,55
2020-01-01,Montana,MT,Townhouse,290000,30
2020-01-01,Texas,TX,Single Family Residential,239200,48
2020-01-01,Iowa,IA,Townhouse,224900,19
2020-01-01,Arkansas,AR,All Residential,161300,5
2020-01-01,Massachusetts,MA,All Residential,429000,25
2020-01-01,Wyoming,WY,All Residential,300000,56
2020-01-01,South Carolina,SC,Single Family Residential,254700,45
2020-01-01,Oregon,OR,Multi-Family (2-4 Unit),437500,41
2020-01-01,Arizona,AZ,Townhouse,228000,4
2020-01-01,Oregon,OR,Townhouse,352500,41
2020-01-01,Massachusetts,MA,Single Family Residential,417600,25
2020-01-01,Utah,UT,Condo/Co-op,349900,49
