period_begin,state,state_code,property_type,median_sale_price,median_list_price,homes_sold,new_listings,inventory,months_of_supply,off_market_in_two_weeks,parent_metro_region
2018-01-01,Arkansas,AR,single family,149100,161500.0,1921,2790.0,10688.0,5.6,0.1201720701,South Region
2024-06-01,Maryland,MD,all,453000,441700.0,6394,7564.0,12270.0,1.9,0.5705868906,South Region
2018-04-01,Utah,UT,townhouse,256400,320600.0,482,569.0,772.0,1.6,0.602956144,West Region
2016-06-01,New Jersey,NJ,multi family,262100,352300.0,683,949.0,4796.0,7.0,0.09655407392,Northeast Region
2021-05-01,Arizona,AZ,single family,398300,388600.0,10680,11214.0,14971.0,1.4,0.6121650885,West Region
2018-05-01,Columbia,DC,condo,449900,619000.0,419,555.0,785.0,1.9,0.4502487562,South Region
2015-08-01,Arizona,AZ,all,207600,217900.0,9545,10869.0,33483.0,3.5,0.2840625094,West Region
2018-08-01,Mississippi,MS,townhouse,154200,185000.0,25,16.0,94.0,3.8,0.0,South Region
2019-10-01,Hawaii,HI,townhouse,616900,525900.0,7,20.0,83.0,11.9,0.46,West Region
2014-07-01,Hawaii,HI,condo,350800,520000.0,559,774.0,3110.0,5.6,0.01458095656,West Region
2019-12-01,Nebraska,NE,condo,171400,191700.0,28,20.0,67.0,2.4,0.1875,Midwest Region
2022-03-01,Missouri,MO,all,226500,237000.0,7424,8992.0,9678.0,1.3,0.4537803261,Midwest Region
2022-04-01,West Virginia,WV,townhouse,225400,276100.0,124,128.0,242.0,2.0,0.5268429487,South Region
2019-04-01,Vermont,VT,multi family,232700,259800.0,13,26.0,99.0,7.6,0.4480769231,Northeast Region
2014-09-01,Indiana,IN,single family,130300,128500.0,6131,7389.0,38749.0,6.3,0.03589489643,Midwest Region
2022-06-01,North Carolina,NC,single family,378300,362700.0,15472,17947.0,27361.0,1.8,0.5452111245,South Region
2018-11-01,Idaho,ID,townhouse,236100,339800.0,79,52.0,122.0,1.5,0.3637820513,West Region
2018-06-01,Arkansas,AR,townhouse,120100,175800.0,30,48.0,155.0,5.2,0.01736111111,South Region
2017-08-01,Maryland,MD,multi family,90200,167800.0,13,30.0,82.0,6.3,0.1188888889,South Region
2023-11-01,Oklahoma,OK,all,231500,244900.0,3320,4086.0,12101.0,3.6,0.3066304667,South Region
2019-10-01,Florida,FL,multi family,275500,281400.0,376,574.0,1729.0,4.6,0.2360214187,South Region
2017-07-01,Tennessee,TN,single family,224300,222400.0,8451,9357.0,28768.0,3.4,0.3625936097,South Region
2017-08-01,South Carolina,SC,condo,140300,236000.0,821,841.0,3745.0,4.6,0.08578817918,South Region
2017-08-01,New Mexico,NM,multi family,186600,318800.0,5,10.0,26.0,5.2,0.0,West Region
2019-11-01,Connecticut,CT,condo,186000,257300.0,701,615.0,2856.0,4.1,0.2766644037,Northeast Region
2018-05-01,North Carolina,NC,townhouse,198900,257700.0,1069,1211.0,2671.0,2.5,0.3578372168,South Region
2018-12-01,Nevada,NV,all,287800,293500.0,3555,3352.0,13399.0,3.8,0.2373631818,West Region
2015-12-01,Idaho,ID,all,195300,211400.0,2245,1264.0,9671.0,4.3,0.00642073966,West Region
2015-07-01,Alaska,AK,single family,278400,266900.0,726,995.0,3395.0,4.7,0.01159330457,West Region
2023-01-01,Iowa,IA,multi family,163900,217800.0,28,23.0,51.0,1.8,0.4186335404,Midwest Region
2021-02-01,Vermont,VT,single family,274900,311400.0,430,494.0,1737.0,4.0,0.4542765221,Northeast Region
2020-04-01,New Jersey,NJ,multi family,425800,401600.0,340,366.0,2654.0,7.8,0.05163718798,Northeast Region
2016-04-01,Mississippi,MS,condo,111800,155100.0,26,30.0,210.0,8.1,0.02745098039,South Region
2014-01-01,Virginia,VA,condo,237700,403800.0,388,661.0,1589.0,4.1,0.1386702173,South Region
2024-03-01,New Jersey,NJ,all,494800,520200.0,6095,9103.0,16413.0,2.7,0.3940838639,Northeast Region
2016-08-01,Pennsylvania,PA,single family,200900,170300.0,10388,10689.0,46745.0,4.5,0.132118142,Northeast Region
2023-01-01,Kansas,KS,multi family,257900,233400.0,28,52.0,45.0,1.6,0.4330693816,Midwest Region
2017-03-01,Georgia,GA,all,212200,249700.0,13991,20542.0,51388.0,3.7,0.307440188,South Region
2024-12-01,North Carolina,NC,single family,387700,358400.0,9622,7206.0,31034.0,3.2,0.2454619878,South Region
2015-07-01,Hawaii,HI,townhouse,571100,529800.0,9,18.0,101.0,11.2,0.1805555556,West Region
2015-10-01,South Dakota,SD,condo,143400,171900.0,22,8.0,51.0,2.3,0.0625,Midwest Region
2022-11-01,Michigan,MI,all,226800,212600.0,9686,8975.0,23581.0,2.4,0.3191230486,Midwest Region
2021-01-01,Delaware,DE,single family,292700,262800.0,537,501.0,668.0,1.2,0.5815639026,South Region
2014-10-01,Utah,UT,townhouse,182200,240200.0,367,332.0,1555.0,4.2,0.02177862549,West Region
2014-05-01,South Dakota,SD,multi family,171000,163900.0,2,23.0,42.0,21.0,0.0,Midwest Region
2021-09-01,Oregon,OR,all,473500,475200.0,6815,7285.0,9781.0,1.4,0.5357511452,West Region
2024-08-01,Maryland,MD,townhouse,354800,387600.0,2124,2401.0,4046.0,1.9,0.5119692681,South Region
2021-11-01,Washington,WA,townhouse,589800,658800.0,747,571.0,432.0,0.6,0.6570975968,West Region
2017-03-01,West Virginia,WV,all,143900,172600.0,890,1301.0,4962.0,5.6,0.07619045636,South Region
2021-09-01,Delaware,DE,condo,164900,299900.0,49,43.0,53.0,1.1,0.5106382979,South Region
2015-09-01,Columbia,DC,multi family,463400,545000.0,16,21.0,57.0,3.6,0.0,South Region
2024-05-01,New Jersey,NJ,multi family,623300,612500.0,577,736.0,1900.0,3.3,0.3011907318,Northeast Region
2019-03-01,Columbia,DC,multi family,687100,599000.0,26,23.0,64.0,2.5,0.4482758621,South Region
2017-02-01,Florida,FL,single family,224000,231800.0,20154,30775.0,104354.0,5.2,0.2243074732,South Region
2018-01-01,Washington,WA,all,374500,407400.0,6948,7944.0,13517.0,1.9,0.4382153522,West Region
2018-11-01,Arizona,AZ,single family,272400,272200.0,7672,9015.0,27113.0,3.5,0.284700211,West Region
2015-02-01,Nebraska,NE,multi family,155500,159900.0,10,15.0,55.0,5.5,0.1037037037,Midwest Region
2014-08-01,Wisconsin,WI,condo,137200,162600.0,154,145.0,1008.0,6.5,0.0,Midwest Region
2022-10-01,South Dakota,SD,townhouse,283200,314500.0,50,45.0,147.0,2.9,0.4003267974,Midwest Region
2014-10-01,New Hampshire,NH,townhouse,202500,265400.0,2,10.0,51.0,25.5,0.2666666667,Northeast Region
2023-10-01,North Dakota,ND,townhouse,245600,291400.0,18,35.0,109.0,6.1,0.4802721088,Midwest Region
2019-06-01,South Dakota,SD,all,214100,220900.0,1063,1241.0,3675.0,3.5,0.01309238995,Midwest Region
2014-09-01,Rhode Island,RI,multi family,159000,202800.0,136,228.0,891.0,6.6,0.2142588014,Northeast Region
2022-10-01,Oklahoma,OK,single family,228200,232300.0,4005,4317.0,10739.0,2.7,0.3662475943,South Region
2017-08-01,South Dakota,SD,single family,194100,191100.0,935,927.0,2971.0,3.2,0.0056161471,Midwest Region
2016-10-01,Arkansas,AR,single family,149200,148500.0,2447,2668.0,11042.0,4.5,0.1242469517,South Region
2021-04-01,Missouri,MO,condo,182800,242000.0,722,751.0,813.0,1.1,0.4539359254,Midwest Region
2022-05-01,Florida,FL,single family,436900,418600.0,30459,38396.0,52271.0,1.7,0.5945921334,South Region
2022-04-01,Ohio,OH,townhouse,343400,195200.0,50,101.0,145.0,2.9,0.5748690699,Midwest Region
2020-05-01,Columbia,DC,multi family,825000,674400.0,15,22.0,83.0,5.5,0.1304347826,South Region
2024-01-01,Illinois,IL,condo,241900,323500.0,1216,1931.0,4546.0,3.7,0.4149112677,Midwest Region
2017-08-01,Alabama,AL,multi family,216600,183700.0,3,4.0,15.0,5.0,0.0,South Region
2016-09-01,Colorado,CO,condo,247300,385700.0,1315,1270.0,2697.0,2.1,0.4498531449,West Region
2015-04-01,Minnesota,MN,townhouse,168700,235900.0,672,1353.0,2184.0,3.3,0.4444677959,Midwest Region
2018-04-01,South Carolina,SC,multi family,348500,359900.0,10,16.0,60.0,6.0,0.2142857143,South Region
2016-03-01,Mississippi,MS,multi family,22500,145000.0,2,11.0,38.0,19.0,0.0,South Region
2023-04-01,Massachusetts,MA,multi family,582000,603000.0,300,558.0,734.0,2.4,0.662060302,Northeast Region
2014-01-01,Hawaii,HI,single family,557600,476000.0,424,673.0,2985.0,7.0,0.01744158211,West Region
2020-01-01,Delaware,DE,townhouse,172600,245200.0,169,179.0,492.0,2.9,0.3078342449,South Region
2022-10-01,Missouri,MO,single family,243100,231600.0,6139,6697.0,10523.0,1.7,0.4593293296,Midwest Region
2021-09-01,Virginia,VA,all,374300,384400.0,13956,14140.0,24367.0,1.7,0.4402590659,South Region
2014-09-01,Pennsylvania,PA,condo,196500,195500.0,530,723.0,2592.0,4.9,0.05071189793,Northeast Region
2022-02-01,South Dakota,SD,townhouse,270400,340700.0,45,60.0,117.0,2.6,0.4386464263,Midwest Region
2014-10-01,Kentucky,KY,single family,139000,142100.0,3122,3544.0,17846.0,5.7,0.01836477039,South Region
2022-04-01,Kentucky,KY,multi family,218000,247900.0,43,45.0,72.0,1.7,0.5158730159,South Region
2016-10-01,New York,NY,all,338400,412800.0,13645,14075.0,78526.0,5.8,0.0681702734,Northeast Region
2017-03-01,Idaho,ID,multi family,264000,211200.0,25,49.0,82.0,3.3,0.0,West Region
2017-11-01,Missouri,MO,all,162100,157400.0,6803,6133.0,19341.0,2.8,0.2364391473,Midwest Region
2022-06-01,Pennsylvania,PA,multi family,203700,246200.0,487,654.0,1592.0,3.3,0.3381817815,Northeast Region
2019-02-01,South Dakota,SD,townhouse,187500,229900.0,23,45.0,216.0,9.4,0.01481481481,Midwest Region
2018-07-01,New Jersey,NJ,townhouse,278100,273100.0,615,885.0,3063.0,5.0,0.1510770427,Northeast Region
2024-07-01,California,CA,condo,652600,957300.0,3642,4711.0,11106.0,3.0,0.297952784,West Region
2018-08-01,Maryland,MD,multi family,210900,169900.0,15,18.0,68.0,4.5,0.1,South Region
2019-08-01,Iowa,IA,multi family,168700,202900.0,44,49.0,176.0,4.0,0.1232492997,Midwest Region
2023-01-01,Utah,UT,all,510900,552800.0,1995,2822.0,8796.0,4.4,0.2244841723,West Region
2018-02-01,Texas,TX,all,228500,251100.0,20835,29714.0,77446.0,3.7,0.3241012553,South Region
2022-11-01,New Hampshire,NH,single family,431600,410800.0,1103,821.0,2257.0,2.0,0.4676870566,Northeast Region
2015-07-01,Tennessee,TN,multi family,125600,193800.0,37,61.0,214.0,5.8,0.2075977301,South Region
2017-01-01,Texas,TX,condo,165000,256600.0,694,1274.0,3151.0,4.5,0.3496314884,South Region
2017-01-01,Iowa,IA,townhouse,141300,165000.0,2,8.0,34.0,17.0,0.0,Midwest Region
2021-09-01,Idaho,ID,condo,523700,613200.0,97,87.0,188.0,1.9,0.3099881018,West Region
2021-11-01,Oklahoma,OK,all,215900,211700.0,4924,4357.0,8094.0,1.6,0.4543123081,South Region
2017-05-01,New Jersey,NJ,multi family,291100,370200.0,672,1117.0,4154.0,6.2,0.1225912578,Northeast Region
2024-03-01,Arizona,AZ,multi family,544500,472200.0,51,111.0,280.0,5.5,0.3571706842,West Region
2024-06-01,Tennessee,TN,all,398000,401700.0,7914,10955.0,29670.0,3.7,0.3633742263,South Region
2017-06-01,Illinois,IL,all,224700,230400.0,19577,21652.0,64694.0,3.3,0.3278777105,Midwest Region
2018-12-01,Texas,TX,condo,195500,250100.0,825,738.0,3189.0,3.9,0.2380044799,South Region
2017-08-01,Maine,ME,townhouse,185000,295000.0,7,3.0,6.0,0.9,0.2,Northeast Region
2021-02-01,Georgia,GA,condo,235500,353200.0,717,950.0,2139.0,3.0,0.3582313125,South Region
2024-12-01,Texas,TX,all,349800,335500.0,26058,24141.0,116667.0,4.5,0.1475657501,South Region
2014-04-01,Massachusetts,MA,all,322700,361600.0,5245,12126.0,36704.0,7.0,0.356037639,Northeast Region
2023-02-01,Iowa,IA,townhouse,335500,229600.0,15,21.0,59.0,3.9,0.5166666667,Midwest Region
2024-03-01,South Dakota,SD,townhouse,296000,345600.0,45,88.0,253.0,5.6,0.3785192349,Midwest Region
2016-10-01,Columbia,DC,multi family,729000,559000.0,7,23.0,48.0,6.9,0.2352941176,South Region
2023-03-01,Tennessee,TN,single family,366300,384200.0,7244,8499.0,19377.0,2.7,0.405342404,South Region
2017-10-01,Vermont,VT,townhouse,234200,261100.0,57,63.0,280.0,4.9,0.2344581799,Northeast Region
2016-11-01,Arkansas,AR,all,149200,151000.0,2406,2357.0,11208.0,4.7,0.1100417285,South Region
2017-03-01,Wyoming,WY,single family,244500,240800.0,515,707.0,3143.0,6.1,0.008495591439,West Region
2024-07-01,Texas,TX,multi family,386300,327400.0,278,484.0,1962.0,7.1,0.2234912126,South Region
2014-12-01,West Virginia,WV,all,127400,135900.0,689,486.0,4225.0,6.1,0.02847665619,South Region
2017-12-01,West Virginia,WV,single family,168600,153700.0,849,477.0,3911.0,4.6,0.04699955876,South Region
2014-12-01,Oklahoma,OK,all,143700,134200.0,3182,1344.0,8382.0,2.6,0.02534318342,South Region
2017-05-01,West Virginia,WV,all,156700,172000.0,1098,1482.0,5408.0,4.9,0.07069821441,South Region
2020-02-01,Illinois,IL,townhouse,208400,301400.0,793,1480.0,3893.0,4.9,0.3832350249,Midwest Region
2022-09-01,Vermont,VT,multi family,276400,342700.0,36,28.0,130.0,3.6,0.2071428571,Northeast Region
2022-09-01,Arkansas,AR,condo,226800,248500.0,66,77.0,166.0,2.5,0.4127611519,South Region
2023-12-01,Arkansas,AR,condo,246100,255600.0,38,44.0,197.0,5.2,0.2320804196,South Region
2019-12-01,Iowa,IA,all,168700,169200.0,3082,1936.0,11757.0,3.8,0.08424904702,Midwest Region
2020-10-01,Nebraska,NE,multi family,156500,222900.0,20,17.0,20.0,1.0,0.4352941176,Midwest Region
2021-07-01,Oregon,OR,multi family,517900,464700.0,136,203.0,310.0,2.3,0.5719493944,West Region
2018-11-01,Indiana,IN,single family,161600,153000.0,6804,5573.0,22485.0,3.3,0.1262233732,Midwest Region
2019-05-01,South Dakota,SD,townhouse,194400,237800.0,99,82.0,238.0,2.4,0.0,Midwest Region
2021-07-01,New York,NY,condo,608900,826900.0,2840,3379.0,12921.0,4.5,0.06938362601,Northeast Region
2022-11-01,Colorado,CO,multi family,973800,564100.0,58,76.0,248.0,4.3,0.2495300752,West Region
2019-10-01,South Dakota,SD,single family,217500,207600.0,838,828.0,3150.0,3.8,0.01260234554,Midwest Region
2024-01-01,Nevada,NV,multi family,566600,426700.0,17,18.0,59.0,3.5,0.5296296296,West Region
2015-04-01,Indiana,IN,townhouse,142400,158800.0,59,122.0,417.0,7.1,0.0,Midwest Region
2015-06-01,Washington,WA,single family,344100,326200.0,9276,10613.0,22691.0,2.4,0.3455092806,West Region
2020-11-01,Arizona,AZ,single family,343700,328300.0,10276,8777.0,17104.0,1.7,0.4720155446,West Region
2019-04-01,West Virginia,WV,townhouse,172400,235700.0,97,114.0,336.0,3.5,0.2013811124,South Region
2023-05-01,New Jersey,NJ,condo,422200,581200.0,953,1148.0,2614.0,2.7,0.3960093556,Northeast Region
2024-11-01,Massachusetts,MA,multi family,740200,579000.0,418,403.0,817.0,2.0,0.467765874,Northeast Region
2022-02-01,California,CA,townhouse,829700,954600.0,1184,1594.0,1390.0,1.2,0.6092337238,West Region
2014-06-01,Massachusetts,MA,multi family,368800,348600.0,509,860.0,3164.0,6.2,0.469488173,Northeast Region
2018-06-01,Indiana,IN,all,168300,172500.0,9953,10628.0,25091.0,2.5,0.2269238968,Midwest Region
2015-02-01,Washington,WA,multi family,296600,312300.0,64,122.0,374.0,5.8,0.2964503393,West Region
2015-04-01,Kansas,KS,multi family,107000,159800.0,20,26.0,56.0,2.8,0.0,Midwest Region
2014-05-01,Louisiana,LA,townhouse,167700,203600.0,27,5.0,55.0,2.0,0.0,South Region
2023-07-01,Wyoming,WY,all,408400,474000.0,600,800.0,2285.0,3.8,0.02071483048,West Region
2024-04-01,Louisiana,LA,multi family,270500,348700.0,121,243.0,865.0,7.1,0.1801463711,South Region
2014-06-01,Arizona,AZ,townhouse,137100,216900.0,765,868.0,2782.0,3.6,0.2820124014,West Region
2022-07-01,Kansas,KS,multi family,288400,216600.0,30,40.0,40.0,1.3,0.6053571429,Midwest Region
2020-12-01,Ohio,OH,multi family,135300,161800.0,483,307.0,931.0,1.9,0.3609798611,Midwest Region
2015-05-01,Idaho,ID,multi family,240900,212200.0,33,32.0,115.0,3.5,0.0,West Region
2020-03-01,Maryland,MD,townhouse,255900,323100.0,2224,2943.0,4879.0,2.2,0.5121531739,South Region
2021-02-01,Nebraska,NE,condo,272400,240000.0,30,20.0,79.0,2.6,0.45,Midwest Region
2017-03-01,Hawaii,HI,townhouse,670200,434900.0,17,12.0,102.0,6.0,0.2777777778,West Region
2017-09-01,Virginia,VA,townhouse,331800,391700.0,1854,2016.0,4370.0,2.4,0.2114836254,South Region
2015-07-01,Columbia,DC,all,542000,499000.0,879,898.0,1576.0,1.8,0.2058189655,South Region
2015-06-01,Columbia,DC,all,548500,515000.0,942,1005.0,1561.0,1.7,0.2457786116,South Region
2018-04-01,Delaware,DE,condo,127000,249900.0,52,48.0,121.0,2.3,0.1451612903,South Region
2023-02-01,Hawaii,HI,single family,814300,766800.0,379,482.0,2142.0,5.7,0.1873820692,West Region
2022-02-01,Vermont,VT,townhouse,393300,410000.0,26,56.0,61.0,2.3,0.7920963122,Northeast Region
2021-10-01,Montana,MT,single family,440200,435000.0,1162,998.0,3323.0,2.9,0.01057656862,West Region
2018-06-01,Alabama,AL,multi family,92200,215200.0,9,4.0,16.0,1.8,0.0,South Region
2016-02-01,New Jersey,NJ,townhouse,178000,231500.0,251,568.0,2328.0,9.3,0.09182258753,Northeast Region
2020-03-01,Columbia,DC,multi family,719500,649900.0,10,35.0,82.0,8.2,0.4444444444,South Region
2021-07-01,Delaware,DE,multi family,205000,284900.0,9,14.0,20.0,2.2,0.6,South Region
2015-02-01,Louisiana,LA,multi family,162100,214700.0,87,86.0,627.0,7.2,0.01315287838,South Region
2018-08-01,Illinois,IL,multi family,227700,232300.0,501,830.0,2509.0,5.0,0.2671105386,Midwest Region
2015-01-01,New Mexico,NM,townhouse,183200,250000.0,10,13.0,81.0,8.1,0.0,West Region
2017-09-01,Iowa,IA,multi family,141900,176400.0,32,31.0,127.0,4.0,0.01935483871,Midwest Region
2020-08-01,Wyoming,WY,multi family,200700,274800.0,13,11.0,27.0,2.1,0.0,West Region
2014-08-01,Oregon,OR,all,260800,263000.0,5372,6396.0,22822.0,4.2,0.2103490648,West Region
2016-11-01,Alabama,AL,all,167300,172500.0,3739,3575.0,21887.0,5.9,0.07337788851,South Region
2016-07-01,Washington,WA,single family,360900,335600.0,9924,12208.0,24532.0,2.5,0.3174228488,West Region
2020-11-01,Maine,ME,multi family,270800,273700.0,82,80.0,174.0,2.1,0.4557349691,Northeast Region
2019-02-01,Virginia,VA,condo,250300,432100.0,681,984.0,1925.0,2.8,0.4199607115,South Region
2019-10-01,Washington,WA,townhouse,507400,558700.0,513,537.0,993.0,1.9,0.3420374939,West Region
2024-02-01,Hawaii,HI,all,745300,795500.0,891,1280.0,4835.0,5.4,0.3301373986,West Region
2017-11-01,Louisiana,LA,condo,148300,264300.0,99,77.0,520.0,5.3,0.2875695733,South Region
2022-11-01,Montana,MT,all,482400,473300.0,818,745.0,3976.0,4.9,0.004650669055,West Region
2015-01-01,West Virginia,WV,single family,135300,151800.0,425,654.0,3914.0,9.2,0.03902207117,South Region
2023-03-01,Oregon,OR,multi family,531900,491400.0,50,89.0,179.0,3.6,0.6194756554,West Region
2014-10-01,Illinois,IL,multi family,157400,183300.0,473,676.0,2639.0,5.6,0.1961355311,Midwest Region
2022-05-01,South Dakota,SD,all,300900,320200.0,979,1076.0,2207.0,2.3,0.3302777431,Midwest Region
2022-05-01,Rhode Island,RI,multi family,436900,399400.0,171,257.0,317.0,1.9,0.6949584054,Northeast Region
2024-04-01,Nevada,NV,multi family,575300,531800.0,28,33.0,80.0,2.9,0.4044421488,West Region
2017-08-01,Idaho,ID,condo,255700,301200.0,86,136.0,429.0,5.0,0.06225490196,West Region
2014-10-01,Maryland,MD,condo,183100,302400.0,557,659.0,1992.0,3.6,0.121546872,South Region
2022-10-01,Kansas,KS,multi family,192900,234300.0,40,62.0,83.0,2.1,0.5705645161,Midwest Region
2022-05-01,Indiana,IN,single family,250300,244300.0,8454,9871.0,12201.0,1.4,0.4260575116,Midwest Region
2017-02-01,Maine,ME,all,182300,216100.0,951,1255.0,7293.0,7.7,0.2198801601,Northeast Region
2016-03-01,California,CA,all,462100,509200.0,32427,44260.0,83612.0,2.6,0.3675432928,West Region
2024-07-01,Missouri,MO,condo,232300,286900.0,493,558.0,1363.0,2.8,0.3767980867,Midwest Region
2017-10-01,Louisiana,LA,all,189200,206900.0,3143,2704.0,13029.0,4.1,0.08521131488,South Region
2021-10-01,North Dakota,ND,multi family,221500,296200.0,17,8.0,30.0,1.8,0.0,Midwest Region
2016-02-01,Wisconsin,WI,condo,140100,203500.0,318,625.0,2499.0,7.9,0.05802564426,Midwest Region
2017-03-01,Pennsylvania,PA,multi family,100400,192900.0,323,389.0,1782.0,5.5,0.135697901,Northeast Region
2019-11-01,Georgia,GA,townhouse,237000,268800.0,909,1145.0,3581.0,3.9,0.254704442,South Region
2023-10-01,Alabama,AL,multi family,146400,258700.0,14,24.0,76.0,5.4,0.3916666667,South Region
2016-09-01,South Dakota,SD,townhouse,187800,199700.0,49,38.0,169.0,3.4,0.0,Midwest Region
2015-06-01,Wisconsin,WI,townhouse,145000,220000.0,12,9.0,44.0,3.7,0.5555555556,Midwest Region
2023-05-01,Pennsylvania,PA,all,277700,290400.0,11479,14307.0,23671.0,2.1,0.5859795895,Northeast Region
2018-03-01,Missouri,MO,single family,166200,179000.0,6385,8559.0,16868.0,2.6,0.3481888166,Midwest Region
2018-07-01,Vermont,VT,townhouse,235900,284600.0,64,85.0,293.0,4.6,0.3323529412,Northeast Region
2020-02-01,South Carolina,SC,multi family,381100,310300.0,12,20.0,78.0,6.5,0.4,South Region
2023-02-01,Columbia,DC,condo,481600,650000.0,247,277.0,826.0,3.3,0.3494809689,South Region
2016-11-01,Montana,MT,multi family,311800,252300.0,19,22.0,119.0,6.3,0.0,West Region
2014-02-01,Pennsylvania,PA,single family,163500,173500.0,4063,6316.0,30034.0,7.4,0.03597586997,Northeast Region
2021-09-01,North Dakota,ND,multi family,223600,258900.0,8,9.0,35.0,4.4,0.0,Midwest Region
2023-06-01,New Mexico,NM,townhouse,474600,554700.0,33,27.0,51.0,1.5,0.6383442266,West Region
2017-05-01,New Jersey,NJ,condo,287700,379400.0,1486,2045.0,6597.0,4.4,0.1906579307,Northeast Region
2015-09-01,New York,NY,single family,219400,217900.0,7836,9711.0,56422.0,7.2,0.04142806592,Northeast Region
2019-03-01,Alaska,AK,single family,276000,285100.0,442,824.0,2665.0,6.0,0.01792163789,West Region
2020-05-01,South Dakota,SD,townhouse,203300,260200.0,76,53.0,231.0,3.0,0.007547169811,Midwest Region
2020-02-01,Hawaii,HI,townhouse,664000,606300.0,14,10.0,73.0,5.2,0.2933333333,West Region
2024-07-01,Kansas,KS,townhouse,309500,376100.0,98,111.0,102.0,1.0,0.4284760437,Midwest Region
2014-05-01,California,CA,townhouse,475600,559500.0,1511,1878.0,2216.0,1.5,0.414139878,West Region
2020-07-01,Oregon,OR,townhouse,342500,440600.0,369,354.0,554.0,1.5,0.4114609428,West Region
2020-07-01,Alabama,AL,condo,272700,275100.0,431,352.0,1139.0,2.6,0.1830408917,South Region
2016-11-01,West Virginia,WV,multi family,135400,127000.0,4,4.0,37.0,9.3,0.0,South Region
2018-11-01,Alabama,AL,townhouse,157400,204800.0,101,95.0,332.0,3.3,0.203127086,South Region
2022-01-01,South Carolina,SC,condo,232000,339800.0,844,921.0,1833.0,2.2,0.5110215314,South Region
2020-10-01,Oklahoma,OK,single family,197500,190200.0,5181,4670.0,8954.0,1.7,0.3961020259,South Region
2021-11-01,Kentucky,KY,single family,224500,214100.0,4378,3881.0,8569.0,2.0,0.3794501382,South Region
2014-05-01,Alabama,AL,condo,206000,223900.0,226,199.0,956.0,4.2,0.07381329559,South Region
2021-02-01,Nevada,NV,townhouse,263800,350500.0,400,371.0,588.0,1.5,0.4675686468,West Region
2017-12-01,Arkansas,AR,single family,153000,144900.0,2469,1956.0,10525.0,4.3,0.09284773853,South Region
2016-11-01,Maryland,MD,multi family,172800,133500.0,7,15.0,79.0,11.3,0.06666666667,South Region
2021-12-01,Idaho,ID,all,461100,474900.0,3131,1812.0,3918.0,1.3,0.1651556144,West Region
2022-05-01,Indiana,IN,townhouse,268300,254000.0,63,65.0,86.0,1.4,0.656011396,Midwest Region
2015-05-01,Texas,TX,all,211200,224800.0,26638,34669.0,76988.0,2.9,0.3893418942,South Region
2023-08-01,New Mexico,NM,condo,394900,561700.0,49,56.0,117.0,2.4,0.4072066327,West Region
2017-07-01,Washington,WA,condo,300100,473700.0,1137,1337.0,1390.0,1.2,0.6480863877,West Region
2023-05-01,Colorado,CO,townhouse,539100,616800.0,1058,1259.0,1842.0,1.7,0.5398085025,West Region
2017-07-01,Oklahoma,OK,condo,75200,168700.0,65,108.0,310.0,4.8,0.2638447972,South Region
2018-06-01,Vermont,VT,all,232200,257500.0,949,1516.0,5388.0,5.7,0.2952705279,Northeast Region
2014-05-01,Arkansas,AR,single family,139200,147000.0,2320,3015.0,12831.0,5.5,0.0246199987,South Region
2023-10-01,Columbia,DC,townhouse,796500,625000.0,212,328.0,910.0,4.3,0.3134328358,South Region
2020-05-01,Hawaii,HI,single family,675200,590800.0,431,570.0,2951.0,6.8,0.2935988828,West Region
2020-07-01,Arkansas,AR,condo,175300,199600.0,111,104.0,270.0,2.4,0.143308253,South Region
2020-06-01,Oklahoma,OK,townhouse,141300,213400.0,38,41.0,73.0,1.9,0.3658536585,South Region
2019-11-01,Texas,TX,townhouse,248200,256300.0,599,710.0,2795.0,4.7,0.2012794724,South Region
2020-02-01,Louisiana,LA,single family,199300,210900.0,2833,2658.0,10896.0,3.8,0.1167163531,South Region
2018-04-01,Texas,TX,all,236500,262600.0,28439,40437.0,87133.0,3.1,0.3806715263,South Region
2016-12-01,Oregon,OR,single family,309700,295100.0,4727,2456.0,11158.0,2.4,0.2464242349,West Region
2017-11-01,Kentucky,KY,multi family,126600,161900.0,45,42.0,146.0,3.2,0.3051820728,South Region
2023-12-01,Georgia,GA,all,356900,356200.0,9199,8483.0,30232.0,3.3,0.2234130148,South Region
2024-11-01,Delaware,DE,townhouse,289400,343100.0,154,198.0,379.0,2.5,0.4806481481,South Region
2018-09-01,New Mexico,NM,all,220500,255200.0,961,943.0,4317.0,4.5,0.09974979556,West Region
2019-04-01,Maine,ME,single family,211700,237300.0,1335,2096.0,4739.0,3.5,0.3881144337,Northeast Region
2022-08-01,Tennessee,TN,condo,329700,409400.0,407,438.0,1046.0,2.6,0.3748266079,South Region
2024-03-01,Vermont,VT,multi family,360400,400900.0,16,17.0,78.0,4.9,0.3970588235,Northeast Region
2014-07-01,South Carolina,SC,multi family,196300,208300.0,10,13.0,78.0,7.8,0.0,South Region
2017-04-01,Iowa,IA,condo,153200,207300.0,321,441.0,1418.0,4.4,0.03264564216,Midwest Region
2023-08-01,Minnesota,MN,townhouse,315200,370300.0,1023,971.0,1443.0,1.4,0.5002973911,Midwest Region
2016-11-01,Florida,FL,all,205400,234200.0,29838,39526.0,152804.0,5.1,0.2120358163,South Region
