period_begin,state,state_code,property_type,median_sale_price,median_list_price,homes_sold,new_listings,inventory,months_of_supply,off_market_in_two_weeks,parent_metro_region
2019-12-01,Alabama,AL,single family,196100,202700.0,4675,3171.0,16822.0,3.6,0.1768992808,South Region
2017-12-01,New Jersey,NJ,multi family,311100,310100.0,692,575.0,3637.0,5.3,0.04933956754,Northeast Region
2023-03-01,Wisconsin,WI,condo,251500,322800.0,504,645.0,1234.0,2.4,0.5471022545,Midwest Region
2022-08-01,Arizona,AZ,condo,281700,451100.0,465,603.0,1409.0,3.0,0.3309688237,West Region
2017-02-01,Columbia,DC,single family,600000,549900.0,75,120.0,287.0,3.8,0.2365591398,South Region
2015-01-01,New Hampshire,NH,all,207300,231200.0,967,1629.0,9611.0,9.9,0.01129197004,Northeast Region
2021-07-01,South Carolina,SC,single family,324200,308700.0,6851,7908.0,16979.0,2.5,0.5245976846,South Region
2024-07-01,Illinois,IL,multi family,364300,317000.0,470,642.0,1805.0,3.8,0.3851581415,Midwest Region
2019-12-01,South Dakota,SD,single family,212600,213400.0,648,368.0,2373.0,3.7,0.007623203002,Midwest Region
2014-04-01,Colorado,CO,single family,293100,290300.0,5730,8597.0,16502.0,2.9,0.441850562,West Region
2024-10-01,West Virginia,WV,multi family,147800,220400.0,12,18.0,58.0,4.8,0.4444444444,South Region
2024-08-01,Illinois,IL,single family,304700,271900.0,9282,10251.0,21843.0,2.4,0.4818168511,Midwest Region
2015-11-01,Wisconsin,WI,all,155500,154100.0,4700,4443.0,32518.0,6.9,0.03730030028,Midwest Region
2016-12-01,Washington,WA,multi family,413300,298500.0,108,69.0,274.0,2.5,0.2789625029,West Region
2016-05-01,North Dakota,ND,townhouse,241700,250200.0,25,22.0,82.0,3.3,0.03409090909,Midwest Region
2015-05-01,Illinois,IL,single family,192300,208100.0,10715,15368.0,48742.0,4.5,0.2294990879,Midwest Region
2017-11-01,Oregon,OR,condo,261700,366100.0,331,291.0,697.0,2.1,0.3496222659,West Region
2023-07-01,New Hampshire,NH,single family,479700,463100.0,1160,1345.0,2159.0,1.9,0.6383045193,Northeast Region
2014-11-01,California,CA,multi family,541600,456000.0,965,1134.0,4464.0,4.6,0.2065885695,West Region
2018-02-01,Missouri,MO,all,156200,174100.0,4966,7181.0,18075.0,3.6,0.3171982111,Midwest Region
2022-10-01,Tennessee,TN,multi family,256200,335800.0,52,58.0,138.0,2.7,0.5643678161,South Region
2017-11-01,North Dakota,ND,single family,223900,220300.0,293,175.0,1006.0,3.4,0.003098106713,Midwest Region
2024-07-01,Hawaii,HI,condo,574300,785100.0,514,850.0,3354.0,6.5,0.2439446062,West Region
2016-10-01,Ohio,OH,single family,139700,136000.0,11166,11600.0,45143.0,4.0,0.244024045,Midwest Region
2020-11-01,North Carolina,NC,condo,211300,302800.0,803,716.0,2098.0,2.6,0.3176049303,South Region
2024-10-01,Mississippi,MS,all,261700,265800.0,1644,2269.0,6942.0,4.2,0.2194437953,South Region
2020-12-01,Massachusetts,MA,single family,485700,437500.0,5965,2436.0,5363.0,0.9,0.3928880991,Northeast Region
2018-09-01,Utah,UT,multi family,345400,301200.0,48,52.0,127.0,2.6,0.4308209906,West Region
2018-02-01,Missouri,MO,townhouse,124900,193000.0,63,86.0,1.0,0.0,0.6645994832,Midwest Region
2024-10-01,Hawaii,HI,single family,941700,735100.0,485,545.0,2410.0,5.0,0.2888582478,West Region
2024-04-01,Delaware,DE,single family,382200,367700.0,463,597.0,822.0,1.8,0.5727075602,South Region
2014-05-01,Arkansas,AR,townhouse,143200,157200.0,23,14.0,112.0,4.9,0.0,South Region
2023-03-01,North Carolina,NC,townhouse,336400,409700.0,1417,1570.0,2250.0,1.6,0.4714957109,South Region
2023-03-01,Wisconsin,WI,townhouse,275400,397800.0,47,62.0,68.0,1.4,0.7234767025,Midwest Region
2024-12-01,Oklahoma,OK,townhouse,165800,250400.0,24,45.0,146.0,6.1,0.404248366,South Region
2024-07-01,Oregon,OR,all,519700,523700.0,4483,5859.0,14588.0,3.3,0.3410526613,West Region
2015-05-01,Vermont,VT,multi family,241200,236100.0,10,24.0,134.0,13.4,0.0,Northeast Region
2014-05-01,Oklahoma,OK,condo,73800,157800.0,62,72.0,216.0,3.5,0.0,South Region
2015-10-01,Maine,ME,multi family,119100,129900.0,4,11.0,110.0,27.5,0.2,Northeast Region
2019-02-01,Florida,FL,multi family,257400,275600.0,324,540.0,1926.0,5.9,0.2575378837,South Region
2022-07-01,Tennessee,TN,condo,361100,436200.0,391,443.0,1014.0,2.6,0.4509792988,South Region
2022-11-01,Utah,UT,multi family,623200,485900.0,20,25.0,89.0,4.5,0.2002637363,West Region
2014-07-01,North Dakota,ND,condo,173900,244500.0,15,14.0,42.0,2.8,0.0,Midwest Region
2014-09-01,Minnesota,MN,townhouse,169800,222400.0,576,662.0,1736.0,3.0,0.2636320756,Midwest Region
2018-10-01,California,CA,townhouse,630000,705100.0,1299,1599.0,3231.0,2.5,0.3182104355,West Region
2015-11-01,Massachusetts,MA,townhouse,312200,356400.0,527,458.0,1710.0,3.2,0.2748596943,Northeast Region
2021-08-01,South Carolina,SC,multi family,476300,330100.0,24,38.0,79.0,3.3,0.4692982456,South Region
2016-09-01,Mississippi,MS,single family,154400,166600.0,1603,1824.0,8900.0,5.6,0.02090031176,South Region
2021-07-01,Delaware,DE,single family,342400,289000.0,802,874.0,962.0,1.2,0.670575237,South Region
2015-05-01,North Carolina,NC,townhouse,165800,234900.0,718,777.0,2506.0,3.5,0.19271968,South Region
2021-10-01,Georgia,GA,all,319200,325300.0,15120,17025.0,29866.0,2.0,0.4260843956,South Region
2019-12-01,Missouri,MO,multi family,175800,157000.0,141,91.0,246.0,1.7,0.3303680447,Midwest Region
2017-11-01,Nevada,NV,single family,280700,269800.0,3454,3076.0,10108.0,2.9,0.3720891565,West Region
2017-05-01,Louisiana,LA,single family,191400,210400.0,3576,2798.0,11453.0,3.2,0.09340840664,South Region
2014-12-01,Oregon,OR,townhouse,226200,281100.0,193,116.0,457.0,2.4,0.1643599038,West Region
