period_begin,state,state_code,property_type,median_sale_price
2020-01-01,Wisconsin,WI,Condo/Co-op,181200
2020-01-01,Montana,MT,Townhouse,290000
2020-01-01,Texas,TX,Single Family Residential,239200
2020-01-01,Iowa,IA,Townhouse,224900
2020-01-01,Arkansas,AR,All Residential,161300
2020-01-01,Massachusetts,MA,All Residential,429000
2020-01-01,Wyoming,WY,All Residential,300000
2020-01-01,South Carolina,SC,Single Family Residential,254700
2020-01-01,Oregon,OR,Multi-Family (2-4 Unit),437500
2020-01-01,Arizona,AZ,Townhouse,228000
2020-01-01,Oregon,OR,Townhouse,352500
2020-01-01,Massachusetts,MA,Single Family Residential,417600
2020-01-01,Utah,UT,Condo/Co-op,349900
2020-01-01,Tennessee,TN,Townhouse,223800
2020-01-01,Arkansas,AR,Multi-Family (2-4 Unit),145900
2020-01-01,Iowa,IA,Condo/Co-op,174100
2020-01-01,Massachusetts,MA,Townhouse,398700
2020-01-01,Alabama,AL,All Residential,192400
2020-01-01,Indiana,IN,All Residential,160400
2020-01-01,Alabama,AL,Condo/Co-op,293800
2020-01-01,New York,NY,All Residential,410800
2020-01-01,Arizona,AZ,Single Family Residential,296000
2020-01-01,North Carolina,NC,Multi-Family (2-4 Unit),259300
2020-01-01,Virginia,VA,All Residential,299100
2020-01-01,New Mexico,NM,Townhouse,234000
2020-01-01,Delaware,DE,Single Family Residential,260800
2020-01-01,Maine,ME,Single Family Residential,220200
2020-01-01,Hawaii,HI,Condo/Co-op,459900
2020-01-01,North Carolina,NC,Single Family Residential,242900
2020-01-01,North Carolina,NC,Townhouse,227300
2020-01-01,Washington,WA,All Residential,422900
2020-01-01,New Mexico,NM,All Residential,254000
2020-01-01,Missouri,MO,Condo/Co-op,142300
2020-01-01,Georgia,GA,Townhouse,228600
2020-01-01,Vermont,VT,Townhouse,279900
2020-01-01,New Jersey,NJ,Townhouse,252200
2020-01-01,Arizona,AZ,Condo/Co-op,191000
2020-01-01,Nevada,NV,Townhouse,239200
2020-01-01,North Dakota,ND,Single Family Residential,231500
2020-01-01,Nevada,NV,All Residential,303200
2020-01-01,Ohio,OH,Single Family Residential,156000
2020-01-01,California,CA,Condo/Co-op,472600
2020-01-01,Minnesota,MN,Townhouse,223300
2020-01-01,Kentucky,KY,All Residential,168400
2020-01-01,Illinois,IL,Townhouse,201100
2020-01-01,Hawaii,HI,Townhouse,609800
2020-01-01,Columbia,DC,Townhouse,607500
2020-01-01,Kansas,KS,All Residential,192500
2020-01-01,Pennsylvania,PA,Single Family Residential,206400
2020-01-01,Wyoming,WY,Multi-Family (2-4 Unit),336400
2020-01-01,Ohio,OH,Multi-Family (2-4 Unit),101300
2020-01-01,Texas,TX,Multi-Family (2-4 Unit),289000
2020-01-01,Columbia,DC,Single Family Residential,757500
2020-01-01,Louisiana,LA,Multi-Family (2-4 Unit),246900
2020-01-01,Utah,UT,All Residential,342100
2020-01-01,Massachusetts,MA,Multi-Family (2-4 Unit),474500
2020-01-01,Minnesota,MN,Condo/Co-op,193800
2020-01-01,Maryland,MD,Multi-Family (2-4 Unit),219300
2020-01-01,Nevada,NV,Single Family Residential,321800
2020-01-01,Colorado,CO,Multi-Family (2-4 Unit),751400
2020-01-01,Connecticut,CT,Condo/Co-op,186100
2020-01-01,Idaho,ID,All Residential,297900
2020-01-01,Michigan,MI,All Residential,169100
2020-01-01,Vermont,VT,Single Family Residential,236900
2020-01-01,Illinois,IL,All Residential,200000
2020-01-01,Massachusetts,MA,Condo/Co-op,466200
2020-01-01,Tennessee,TN,All Residential,236300
2020-01-01,Oklahoma,OK,Townhouse,147500
2020-01-01,Vermont,VT,All Residential,238600
2020-01-01,Missouri,MO,Multi-Family (2-4 Unit),157600
2020-01-01,Kentucky,KY,Multi-Family (2-4 Unit),158400
2020-01-01,Maryland,MD,All Residential,290500
2020-01-01,Vermont,VT,Multi-Family (2-4 Unit),261500
2020-01-01,Montana,MT,Single Family Residential,301600
2020-01-01,West Virginia,WV,Condo/Co-op,141600
2020-01-01,Colorado,CO,Single Family Residential,425600
2020-01-01,Rhode Island,RI,All Residential,300300
2020-01-01,Idaho,ID,Single Family Residential,295600
2020-01-01,North Carolina,NC,Condo/Co-op,186300
2020-01-01,Florida,FL,Townhouse,230100
2020-01-01,Nebraska,NE,Townhouse,199800
2020-01-01,Illinois,IL,Multi-Family (2-4 Unit),248700
2020-01-01,Virginia,VA,Condo/Co-op,258500
2020-01-01,Iowa,IA,Single Family Residential,165200
