country,year,iso_code,population,gdp,renewables_share_energy,fossil_share_energy,coal_share_energy,gas_share_energy,oil_share_energy,nuclear_share_energy,hydro_share_energy,wind_share_energy,solar_share_energy,energy_per_capita,carbon_intensity_elec
Bahrain,2023,BHR,1569625.0,,,,,,,,,,,164937.672,902.405
Bahrain,2024,BHR,1607007.0,,,,,,,,,,,,
Bangladesh,1990,BGD,111633674.0,112105267200.0,3.332,96.668,4.441,62.067,30.161,0.0,3.332,0.0,0.0,661.596,
Bangladesh,1991,BGD,113787065.0,117331558400.0,3.274,96.726,1.472,66.251,29.004,0.0,3.274,0.0,0.0,626.21,
Bangladesh,1992,BGD,115952146.0,123425136640.0,2.851,97.149,1.266,66.226,29.657,0.0,2.851,0.0,0.0,670.195,
Bangladesh,1993,BGD,118132306.0,129907351552.0,1.979,98.021,0.429,67.391,30.201,0.0,1.979,0.0,0.0,723.221,
Bangladesh,1994,BGD,120343133.0,137432653824.0,2.599,97.401,0.379,67.359,29.664,0.0,2.599,0.0,0.0,753.596,
Bangladesh,1995,BGD,122600315.0,145833066496.0,0.965,99.035,3.486,62.988,32.561,0.0,0.965,0.0,0.0,873.641,
Bangladesh,1996,BGD,124862131.0,155028881408.0,1.832,98.168,1.826,64.571,31.772,0.0,1.832,0.0,0.0,898.611,
Bangladesh,1997,BGD,127198029.0,165329616896.0,1.696,98.304,3.189,60.404,34.711,0.0,1.696,0.0,0.0,926.829,
Bangladesh,1998,BGD,129622282.0,175900622848.0,1.916,98.084,0.862,61.293,35.928,0.0,1.916,0.0,0.0,968.654,
Bangladesh,1999,BGD,132108017.0,187794882560.0,1.824,98.176,0.422,66.072,31.682,0.0,1.824,0.0,0.0,961.224,
Bangladesh,2000,BGD,134544254.0,200824291328.0,1.625,98.375,2.818,66.547,29.01,0.0,1.528,0.0,0.0,1012.713,645.546
Bangladesh,2001,BGD,136805753.0,213164802048.0,1.831,98.169,2.616,65.223,30.329,0.0,1.764,0.0,0.0,1138.044,647.296
Bangladesh,2002,BGD,138933610.0,226285289472.0,1.454,98.546,2.722,68.358,27.466,0.0,1.315,0.0,0.0,1124.599,647.493
Bangladesh,2003,BGD,140970309.0,242325880832.0,1.353,98.647,2.463,69.578,26.607,0.0,1.237,0.0,0.001,1171.226,648.231
Bangladesh,2004,BGD,142902810.0,260372742144.0,1.233,98.767,2.32,70.369,26.078,0.0,1.157,0.0,0.003,1228.084,653.004
Bangladesh,2005,BGD,144715747.0,280264343552.0,1.123,98.877,4.391,69.766,24.72,0.0,1.059,0.0,0.005,1314.626,654.674
Bangladesh,2006,BGD,146405934.0,303255453696.0,1.051,98.949,6.165,69.809,22.975,0.0,0.973,0.002,0.007,1406.255,655.836
Bangladesh,2007,BGD,147989238.0,327072514048.0,1.037,98.963,4.891,72.47,21.601,0.0,0.941,0.002,0.011,1430.874,673.12
Bangladesh,2008,BGD,149474218.0,349461381120.0,1.224,98.776,4.891,73.509,20.376,0.0,1.125,0.003,0.018,1491.569,672.51
Bangladesh,2009,BGD,150873661.0,372693237760.0,0.513,99.487,5.551,76.434,17.502,0.0,0.446,0.005,0.027,1626.154,681.977
Bangladesh,2010,BGD,152201922.0,400087810048.0,0.834,99.166,3.457,76.727,18.982,0.0,0.757,0.005,0.046,1649.614,675.232
Bangladesh,2011,BGD,153591029.0,431418703872.0,0.995,99.005,4.758,72.137,22.11,0.0,0.832,0.005,0.118,1768.522,672.546
Bangladesh,2012,BGD,155070060.0,458456629248.0,0.846,99.154,3.614,72.358,23.182,0.0,0.679,0.004,0.136,1902.543,673.797
Bangladesh,2013,BGD,156532092.0,486135234560.0,0.813,99.187,4.817,71.643,22.727,0.0,0.608,0.004,0.162,1958.555,673.791
Bangladesh,2014,BGD,157964878.0,516793794560.0,0.686,99.314,2.937,72.301,24.076,0.0,0.453,0.004,0.185,2016.641,676.539
Bangladesh,2015,BGD,159383130.0,552104755200.0,0.793,99.207,7.958,67.169,24.079,0.0,0.591,0.003,0.175,2416.201,675.831
Bangladesh,2016,BGD,160811890.0,589932658688.0,0.74,99.26,5.96,68.434,24.866,0.0,0.575,0.003,0.143,2404.68,672.601
Bangladesh,2017,BGD,162186094.0,630957801472.0,0.857,99.143,6.236,66.028,26.879,0.0,0.639,0.003,0.181,2484.586,672.158
Bangladesh,2018,BGD,163523054.0,678912393216.0,0.708,99.292,6.642,63.774,28.876,0.0,0.501,0.003,0.182,2631.36,673.026
Bangladesh,2019,BGD,164913011.0,717214580736.0,0.64,99.36,9.964,64.13,25.266,0.0,0.422,0.003,0.192,2926.161,675.244
Bangladesh,2020,BGD,166297978.0,754358353920.0,0.653,99.347,11.448,65.423,22.476,0.0,0.378,0.003,0.248,2750.768,678.914
Bangladesh,2021,BGD,167658798.0,807308361728.0,0.671,99.329,8.595,62.179,28.555,0.0,0.341,0.003,0.307,2937.337,679.038
Bangladesh,2022,BGD,169384838.0,858143916032.0,0.693,99.307,10.821,56.034,32.453,0.0,0.372,0.002,0.311,3023.729,676.479
Bangladesh,2023,BGD,171466945.0,,0.79,99.21,16.148,55.541,27.522,0.0,0.329,0.008,0.446,2954.85,683.12
Bangladesh,2024,BGD,173562319.0,,1.095,98.905,16.874,51.68,30.35,0.0,0.458,0.045,0.585,3048.314,694.625
Brazil,1990,BRA,149143183.0,1185475198976.0,43.267,56.326,7.317,2.062,46.947,0.407,37.639,0.0,0.0,10479.677,
Brazil,1991,BRA,151724204.0,1213090103296.0,43.701,56.046,8.075,2.064,45.907,0.253,38.175,0.0,0.0,10703.906,
Brazil,1992,BRA,154275022.0,1221828542464.0,44.017,55.679,7.705,2.299,45.676,0.303,38.495,0.0,0.0,10708.821,
Brazil,1993,BRA,156794519.0,1298220843008.0,44.217,55.71,7.58,2.571,45.559,0.073,38.688,0.0,0.0,11035.18,
Brazil,1994,BRA,159264962.0,1391783968768.0,43.932,56.059,7.449,2.688,45.922,0.009,38.24,0.0,0.0,11345.27,
Brazil,1995,BRA,161735036.0,1468835168256.0,43.373,56.252,7.377,2.802,46.074,0.375,37.777,0.0,0.0,11828.177,
Brazil,1996,BRA,164202497.0,1520364945408.0,42.834,56.826,7.169,2.907,46.75,0.34,37.235,0.0,0.0,12366.629,
Brazil,1997,BRA,166661609.0,1591956078592.0,42.148,57.433,6.813,2.984,47.636,0.419,36.927,0.001,0.0,12895.617,
Brazil,1998,BRA,169159594.0,1617675812864.0,42.033,57.553,6.405,3.002,48.146,0.415,37.029,0.001,0.0,13238.576,
Brazil,1999,BRA,171641487.0,1645888012288.0,41.786,57.716,6.397,3.513,47.805,0.498,36.717,0.0,0.0,13225.073,
Brazil,2000,BRA,174018229.0,1739727962112.0,40.939,58.334,6.548,4.203,47.582,0.727,36.623,0.0,0.0,13586.25,89.445
